name,pop,region,income,education_score,out_of_work
Bircotes BUA,7948,East Midlands,Higher deprivation towns,-5.142988334,11.224489795918368
North Walsham BUA,12463,East of England,Higher deprivation towns,-5.847621161,11.510791366906476
Seaton (East Devon) BUA,8413,South West,Mid deprivation towns,1.769499553,NA
Stotfold BUA,6838,East of England,Lower deprivation towns,0.667754595,NA
Shepshed BUA,13505,East Midlands,Lower deprivation towns,-4.193792492,8.955223880597014
Clacton-on-Sea BUA,50548,East of England,Higher deprivation towns,-4.441538623,13.23024054982818
Whitby BUA,13213,Yorkshire and The Humber,Higher deprivation towns,0.232283025,NA
Ashbourne BUA,8377,East Midlands,Lower deprivation towns,1.924015748,NA
Cheltenham BUA,116447,South West,Mid deprivation towns,2.140563927,6.325581395348837
Congleton BUA,26178,North West,Mid deprivation towns,2.579924913,7.984790874524715
Rishton BUA,6625,North West,Higher deprivation towns,-4.129847271,NA
Todmorden BUA,11690,Yorkshire and The Humber,Higher deprivation towns,-0.606301025,14.615384615384617
Stocksbridge BUA,13069,Yorkshire and The Humber,Mid deprivation towns,-0.017333666,9.803921568627452
Shifnal BUA,6240,West Midlands,Mid deprivation towns,3.076387757,NA
Twyford (Wokingham) BUA,7533,South East,Lower deprivation towns,4.095622523,NA
Spennymoor BUA,17766,North East,Higher deprivation towns,-2.615492732,15.196078431372548
Stubbington BUA,24644,South East,Lower deprivation towns,4.055957263,NA
Alton (East Hampshire) BUA,18261,South East,Lower deprivation towns,1.06965726,NA
Radlett BUA,8163,East of England,Lower deprivation towns,7.946548037,NA
Withernsea BUA,6159,Yorkshire and The Humber,Higher deprivation towns,-7.568628303,17.647058823529413
Neston BUA,15064,North West,Lower deprivation towns,2.282558794,NA
Middlewich BUA,13595,North West,Lower deprivation towns,3.230994333,NA
Edenbridge BUA,8172,South East,Mid deprivation towns,-2.828181774,NA
Maryport BUA,9555,North West,Higher deprivation towns,-6.375848442,22.60869565217391
Wymondham (South Norfolk) BUA,13587,East of England,Lower deprivation towns,4.512009379,6.9364161849710975
Creswell BUA,5417,East Midlands,Higher deprivation towns,-6.492351722,20.967741935483872
Saltash BUA,15566,South West,Mid deprivation towns,2.222929796,5.913978494623656
Potters Bar BUA,22639,East of England,Lower deprivation towns,3.321137101,NA
Pembury BUA,6128,South East,Lower deprivation towns,2.892892434,NA
Clevedon BUA,21002,South West,Lower deprivation towns,2.669953734,4.784688995215311
Anstey BUA,6528,East Midlands,Lower deprivation towns,0.783062857,NA
Great Torrington BUA,5714,South West,Higher deprivation towns,-5.664436036,NA
Wroughton BUA,6474,South West,Lower deprivation towns,0.490617302,NA
Tavistock BUA,12280,South West,Mid deprivation towns,0.701047898,NA
Codsall BUA,11673,West Midlands,Lower deprivation towns,2.825355496,NA
Cockermouth BUA,9146,North West,Lower deprivation towns,2.469207502,NA
Blandford Forum BUA,11694,South West,Mid deprivation towns,-3.707811845,NA
Sittingbourne BUA,48948,South East,Higher deprivation towns,-1.827642336,9.72447325769854
Buxton (High Peak) BUA,22115,East Midlands,Mid deprivation towns,0.159995512,7.116104868913857
Newhaven BUA,13222,South East,Higher deprivation towns,-5.590413957,10.897435897435898
Hadleigh BUA,8150,East of England,Lower deprivation towns,-0.951042944,NA
Thetford BUA,24833,East of England,Higher deprivation towns,-6.093760141,7.903780068728522
Billingshurst BUA,6911,South East,Lower deprivation towns,0.504834046,NA
Annfield Plain BUA,10406,North East,Higher deprivation towns,-1.9293064,19.642857142857142
Emsworth BUA,18777,South East,Lower deprivation towns,0.573618012,5.555555555555555
Bognor Regis BUA,63885,South East,Mid deprivation towns,-3.940363044,6.2015503875969
Tarleton BUA,8582,North West,Lower deprivation towns,4.36478605,NA
Westbury (Wiltshire) BUA,16989,South West,Mid deprivation towns,-0.854759647,NA
Strensall BUA,6047,Yorkshire and The Humber,Lower deprivation towns,5.567106097,NA
Liss BUA,6248,South East,Lower deprivation towns,4.052207192,NA
